央视频道,#genre#
CCTV-14 少儿,http://27.41.245.32:801/hls/14/index.m3u8
CCTV-14 少儿,http://122.114.131.154:4018/hls/14/index.m3u8
CCTV-14 少儿,http://119.39.198.199:808/hls/14/index.m3u8
CCTV-14 少儿,http://119.39.198.183:808/hls/14/index.m3u8
CCTV-15 音乐,http://123.14.91.174:8888/hls/15/index.m3u8
CCTV-15 音乐,http://27.41.245.32:801/hls/15/index.m3u8
CCTV-15 音乐,http://122.114.131.154:4018/hls/15/index.m3u8
CCTV-15 音乐,http://119.39.198.199:808/hls/15/index.m3u8
CCTV-15 音乐,http://119.39.198.183:808/hls/15/index.m3u8
CCTV-17 农业农村,http://123.14.91.174:8888/hls/17/index.m3u8
CCTV-17 农业农村,http://27.41.245.32:801/hls/16/index.m3u8
CCTV-NEWS,http://125.46.132.19:8082/hls/17/index.m3u8
CCTV-音乐,http://125.46.132.19:8082/hls/16/index.m3u8
CGTN,http://123.14.91.174:8888/hls/16/index.m3u8
风云足球,http://27.41.245.32:801/hls/906/index.m3u8
卫视频道,#genre#

东南卫视,http://123.14.91.174:8888/hls/36/index.m3u8
东南卫视,http://27.41.245.32:801/hls/32/index.m3u8
东南卫视,http://119.39.198.199:808/hls/42/index.m3u8
东南卫视,http://119.39.198.183:808/hls/42/index.m3u8
东方卫视,http://125.46.132.19:8082/hls/39/index.m3u8
东方卫视,http://123.14.91.174:8888/hls/24/index.m3u8
东方卫视,http://125.44.164.109:8888/hls/11/index.m3u8
东方卫视,http://122.114.131.154:4018/hls/23/index.m3u8
东方卫视,http://119.39.198.199:808/hls/34/index.m3u8
东方卫视,http://119.39.198.183:808/hls/34/index.m3u8
云南卫视,http://125.46.132.19:8082/hls/45/index.m3u8
云南卫视,http://123.14.91.174:8888/hls/33/index.m3u8
内蒙古卫视,http://27.41.245.32:801/hls/47/index.m3u8
北京卫视,http://125.46.132.19:8082/hls/27/index.m3u8
北京卫视,http://123.14.91.174:8888/hls/23/index.m3u8
北京卫视,http://125.44.164.109:8888/hls/18/index.m3u8
北京卫视,http://27.41.245.32:801/hls/28/index.m3u8
北京卫视,http://122.114.131.154:4018/hls/22/index.m3u8
北京卫视,http://119.39.198.199:808/hls/28/index.m3u8
北京卫视,http://119.39.198.183:808/hls/28/index.m3u8
吉林卫视,http://125.46.132.19:8082/hls/43/index.m3u8
吉林卫视,http://27.41.245.32:801/hls/40/index.m3u8
四川卫视,http://125.46.132.19:8082/hls/32/index.m3u8
四川卫视,http://123.14.91.174:8888/hls/31/index.m3u8
四川卫视,http://27.41.245.32:801/hls/54/index.m3u8
四川卫视,http://119.39.198.199:808/hls/41/index.m3u8
四川卫视,http://119.39.198.183:808/hls/41/index.m3u8
天津卫视,http://125.46.132.19:8082/hls/34/index.m3u8
